ID,year,债权融资额度,债权融资成本,股权融资额度,股权融资成本,内部融资和贸易融资额度,内部融资和贸易融资成本,项目融资和政策融资额度,项目融资和政策融资成本
7865,2015.0,0.0,0.0,0.0,0.0,700161.0,42009.66,0.0,0.0
8444,2015.0,0.0,0.0,1203.2,48.128,0.0,0.0,0.0,0.0
8492,2015.0,1248.0,99.84,0.0,0.0,0.0,0.0,0.0,0.0
8608,2015.0,0.0,0.0,8149.8,325.992,0.0,0.0,0.0,0.0
8663,2015.0,0.0,0.0,4371.84,,0.0,0.0,0.0,0.0
8854,2015.0,0.0,0.0,0.0,0.0,,27060.48,0.0,0.0
8872,2015.0,0.0,0.0,124320.0,4972.8,0.0,0.0,0.0,0.0
8972,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,202.4,12.144
9095,2015.0,0.0,0.0,528.0,21.12,0.0,0.0,0.0,0.0
9124,2015.0,0.0,0.0,0.0,0.0,475.2,28.511999999999997,0.0,0.0
9476,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,3767.4,226.044
9542,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,2076.0,124.56
9663,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,1692.0,101.52
9998,2015.0,9720.0,777.6,0.0,0.0,0.0,0.0,0.0,0.0
10470,2015.0,0.0,0.0,0.0,0.0,53860.8,3231.6479999999997,0.0,0.0
10813,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,2482.5,148.95
10869,2015.0,30162.0,2412.96,0.0,0.0,,0.0,0.0,0.0
10994,2015.0,0.0,0.0,0.0,0.0,243972.0,14638.32,0.0,0.0
10995,2015.0,0.0,0.0,89241.6,3569.664,0.0,0.0,0.0,0.0
10999,2015.0,7308.0,584.64,0.0,0.0,0.0,0.0,0.0,0.0
11796,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,1980.8,118.848
12192,2015.0,3384.0,270.72,0.0,0.0,0.0,0.0,0.0,0.0
12233,2015.0,0.0,0.0,1056.0,42.24,0.0,0.0,0.0,0.0
12404,2015.0,0.0,0.0,,684.0,0.0,0.0,0.0,
12418,2015.0,0.0,0.0,216.0,8.64,0.0,0.0,0.0,0.0
12660,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,1720.0,103.2
13491,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,1896.0,113.76
13593,2015.0,0.0,0.0,1252.8,50.111999999999995,0.0,0.0,0.0,
13957,2015.0,31083.0,2486.64,0.0,0.0,0.0,0.0,0.0,0.0
14254,2015.0,0.0,0.0,0.0,0.0,7920.0,475.2,0.0,0.0
14485,2015.0,0.0,0.0,0.0,0.0,201001.5,12060.09,0.0,0.0
14520,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,33.0
14555,2015.0,0.0,0.0,265.2,10.607999999999999,0.0,0.0,0.0,0.0
15099,2015.0,4878.0,390.24,0.0,0.0,0.0,0.0,0.0,0.0
15197,2015.0,0.0,0.0,34874.28,1394.9712,0.0,0.0,0.0,0.0
15385,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,2673.0,160.38
15416,2015.0,0.0,0.0,4521.6,180.864,0.0,0.0,0.0,0.0
15685,2015.0,2795.0,223.6,0.0,0.0,0.0,0.0,0.0,0.0
15886,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,151.2
16069,2015.0,0.0,0.0,399.36,15.9744,0.0,0.0,0.0,0.0
16326,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,256.8,15.408
16758,2015.0,920.0,73.6,0.0,0.0,0.0,0.0,0.0,0.0
16884,2015.0,,0.0,0.0,0.0,0.0,0.0,5479.5,328.77
16999,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,4983.0,298.98
17641,2015.0,0.0,0.0,0.0,0.0,82656.0,4959.36,0.0,0.0
17646,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,5096.0,305.76
18216,2015.0,0.0,0.0,22842.0,913.68,0.0,0.0,0.0,0.0
18366,2015.0,0.0,0.0,642.6,25.704,0.0,0.0,0.0,0.0
18509,2015.0,15696.0,1255.68,0.0,0.0,0.0,0.0,0.0,0.0
18837,2015.0,16848.0,1347.84,0.0,0.0,0.0,0.0,0.0,0.0
18932,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,497.0,29.82
19112,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,16087.5,965.25
19317,2015.0,2256.0,180.48,0.0,0.0,0.0,0.0,0.0,0.0
19501,2015.0,3888.0,311.04,0.0,0.0,0.0,0.0,0.0,0.0
19559,2015.0,0.0,0.0,1197.0,47.88,0.0,0.0,0.0,0.0
19651,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,277.2,16.632
19876,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,598.8,35.928000000000004
20333,2015.0,3510.0,280.8,0.0,0.0,0.0,0.0,0.0,0.0
20540,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,2240.0,134.4
20686,2015.0,,0.0,0.0,0.0,0.0,0.0,5356.8,321.408
20812,2015.0,0.0,0.0,4500.0,180.0,0.0,0.0,0.0,0.0
20853,2015.0,0.0,0.0,0.0,0.0,11295.9,677.7539999999999,0.0,0.0
20921,2015.0,35238.0,2819.04,0.0,0.0,0.0,0.0,0.0,0.0
21044,2015.0,0.0,0.0,0.0,0.0,75103.2,4506.192,0.0,0.0
21593,2015.0,11256.0,900.48,0.0,0.0,0.0,0.0,0.0,0.0
21913,2015.0,0.0,0.0,0.0,0.0,15912.0,954.72,0.0,0.0
21933,2015.0,0.0,0.0,0.0,0.0,186165.0,11169.9,0.0,0.0
21985,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4,4.104
22166,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,2835.0,170.1
22549,2015.0,0.0,0.0,0.0,0.0,95961.6,5757.696,0.0,0.0
22785,2015.0,0.0,0.0,0.0,0.0,182625.3,10957.518,0.0,0.0
22869,2015.0,0.0,0.0,11226.6,449.064,0.0,0.0,0.0,0.0
23208,2015.0,0.0,0.0,0.0,0.0,67158.0,4029.48,0.0,0.0
23245,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,4224.0,253.44
23491,2015.0,0.0,0.0,16558.08,662.3232,0.0,0.0,0.0,0.0
23961,2015.0,1192.0,95.36,0.0,0.0,0.0,0.0,0.0,0.0
24265,2015.0,0.0,0.0,4872.16,194.8864,0.0,0.0,0.0,0.0
24611,2015.0,46608.0,3728.64,0.0,0.0,0.0,0.0,0.0,0.0
24623,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,3100.0,186.0
25111,2015.0,3500.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0
25208,2015.0,30404.0,2432.32,0.0,0.0,0.0,0.0,0.0,0.0
25529,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,1248.0,74.88
25732,2015.0,20790.0,1663.2,0.0,0.0,0.0,0.0,0.0,0.0
25947,2015.0,21240.0,1699.2,0.0,0.0,0.0,0.0,0.0,0.0
26293,2015.0,3660.0,292.8,0.0,0.0,0.0,0.0,0.0,0.0
26448,2015.0,0.0,0.0,0.0,0.0,62092.8,3725.5679999999998,0.0,0.0
26730,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,4500.0,270.0
26885,2015.0,22368.0,1789.44,0.0,0.0,0.0,0.0,0.0,0.0
26888,2015.0,5982.0,478.56,0.0,0.0,0.0,0.0,0.0,0.0
27003,2015.0,9828.0,786.24,0.0,0.0,0.0,0.0,0.0,0.0
27258,2015.0,891.0,71.28,0.0,0.0,0.0,0.0,0.0,0.0
27622,2015.0,0.0,0.0,12132.96,485.3184,0.0,0.0,0.0,0.0
27678,2015.0,0.0,0.0,717.6,28.704,0.0,0.0,0.0,0.0
27935,2015.0,0.0,0.0,0.0,0.0,44712.0,2682.72,0.0,0.0
28415,2015.0,0.0,0.0,0.0,0.0,101571.6,6094.295999999999,0.0,0.0
28529,2015.0,0.0,0.0,3112.0,124.48,0.0,0.0,0.0,0.0
29118,2015.0,0.0,0.0,3198.0,127.92,0.0,0.0,0.0,0.0
29357,2015.0,0.0,0.0,16652.16,666.0864,0.0,0.0,0.0,0.0
29403,2015.0,11916.0,953.28,0.0,0.0,0.0,0.0,0.0,0.0
29427,2015.0,0.0,0.0,7418.88,296.7552,0.0,0.0,0.0,0.0
29593,2015.0,17200.0,1376.0,0.0,0.0,0.0,0.0,0.0,0.0
29601,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,199.2,11.952
29967,2015.0,0.0,0.0,0.0,0.0,50004.0,3000.24,0.0,0.0
29976,2015.0,0.0,0.0,0.0,0.0,71030.4,4261.8240000000005,0.0,0.0
28,2016.0,0.0,0.0,34686.0,1387.44,0.0,0.0,0.0,0.0
230,2016.0,0.0,0.0,0.0,0.0,46771.2,2806.272,0.0,0.0
429,2016.0,0.0,0.0,26592.5,1063.7,0.0,0.0,0.0,0.0
693,2016.0,0.0,0.0,0.0,0.0,55176.0,3310.56,0.0,0.0
727,2016.0,0.0,0.0,0.0,0.0,145188.0,8711.28,0.0,0.0
990,2016.0,0.0,0.0,0.0,0.0,22788.0,1367.28,0.0,0.0
1137,2016.0,9408.0,752.64,0.0,0.0,0.0,0.0,0.0,0.0
1274,2016.0,0.0,0.0,0.0,0.0,77040.0,4622.4,0.0,0.0
1560,2016.0,0.0,0.0,0.0,0.0,168000.0,10080.0,0.0,0.0
1873,2016.0,0.0,0.0,0.0,0.0,80262.0,4815.72,0.0,0.0
2260,2016.0,0.0,0.0,650.16,26.0064,0.0,0.0,0.0,0.0
2694,2016.0,1944.0,155.52,0.0,0.0,0.0,0.0,0.0,0.0
2992,2016.0,0.0,0.0,0.0,0.0,9371.7,562.302,0.0,0.0
3261,2016.0,17792.0,1423.36,0.0,0.0,0.0,0.0,0.0,0.0
3313,2016.0,0.0,0.0,0.0,0.0,706252.8,42375.168,0.0,0.0
3537,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,133.5,8.01
3719,2016.0,0.0,0.0,0.0,0.0,81595.8,4895.748,0.0,0.0
3720,2016.0,3328.0,266.24,0.0,0.0,0.0,0.0,0.0,0.0
3742,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,2790.0,167.4
3770,2016.0,0.0,0.0,0.0,0.0,18798.0,1127.88,0.0,0.0
4107,2016.0,0.0,0.0,0.0,0.0,603288.0,36197.28,0.0,0.0
4321,2016.0,0.0,0.0,49242.6,1969.704,0.0,0.0,0.0,0.0
4911,2016.0,61350.0,4908.0,0.0,0.0,0.0,0.0,0.0,0.0
5267,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,724.0,43.44
5646,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,220.8,13.248
6172,2016.0,0.0,0.0,0.0,0.0,18345.6,1100.736,0.0,0.0
6357,2016.0,0.0,0.0,109500.0,4380.0,0.0,0.0,0.0,0.0
6370,2016.0,0.0,0.0,2230.2,89.208,0.0,0.0,0.0,0.0
7662,2016.0,31020.0,2481.6,0.0,0.0,0.0,0.0,0.0,0.0
7706,2016.0,522.0,41.76,0.0,0.0,0.0,0.0,0.0,0.0
7824,2016.0,11895.0,951.6,0.0,0.0,0.0,0.0,0.0,0.0
7865,2016.0,0.0,0.0,11223.36,448.9344,0.0,0.0,0.0,0.0
8444,2016.0,2560.0,204.8,0.0,0.0,0.0,0.0,0.0,0.0
8492,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,561.6,33.696
8608,2016.0,0.0,0.0,61171.44,2446.8576,0.0,0.0,0.0,0.0
8663,2016.0,0.0,0.0,2760.0,110.4,0.0,0.0,0.0,0.0
8854,2016.0,0.0,0.0,17570.52,702.8208,0.0,0.0,0.0,0.0
8872,2016.0,66600.0,5328.0,0.0,0.0,0.0,0.0,0.0,0.0
8972,2016.0,0.0,0.0,0.0,0.0,15897.6,953.8560000000001,0.0,0.0
9095,2016.0,5940.0,475.2,0.0,0.0,0.0,0.0,0.0,0.0
9124,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,38.4,2.3040000000000003
9476,2016.0,0.0,,0.0,0.0,0.0,0.0,5409.6,324.57599999999996
9542,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,1557.0,93.42
9663,2016.0,0.0,0.0,0.0,0.0,57189.6,3431.3759999999997,0.0,0.0
9998,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,2268.0,136.08
10470,2016.0,0.0,0.0,6265.44,250.6176,0.0,0.0,0.0,0.0
10813,2016.0,0.0,0.0,5719.68,228.7872,0.0,0.0,0.0,0.0
10869,2016.0,0.0,0.0,0.0,0.0,36194.4,2171.6639999999998,0.0,0.0
10994,2016.0,0.0,0.0,36144.0,1445.76,0.0,0.0,0.0,0.0
10995,2016.0,0.0,0.0,24651.0,986.04,0.0,0.0,0.0,0.0
10999,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,5220.0,313.2
11796,2016.0,16713.0,1337.04,0.0,0.0,0.0,0.0,0.0,0.0
12192,2016.0,0.0,,6226.56,249.0624,0.0,0.0,0.0,0.0
12233,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,15.84
12404,2016.0,0.0,0.0,0.0,0.0,92340.0,5540.4,,0.0
12418,2016.0,3840.0,307.2,0.0,0.0,0.0,0.0,0.0,0.0
12660,2016.0,0.0,0.0,30960.0,1238.4,0.0,0.0,0.0,0.0
13491,2016.0,0.0,0.0,1279.8,51.192,0.0,0.0,0.0,0.0
13593,2016.0,0.0,0.0,5503.68,220.1472,0.0,0.0,0.0,0.0
13957,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,16737.0,1004.22
14254,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,12100.0,726.0
14485,2016.0,0.0,0.0,7090.0,283.6,0.0,0.0,0.0,0.0
14520,2016.0,0.0,0.0,0.0,0.0,16698.0,1001.88,0.0,0.0
14555,2016.0,0.0,0.0,1099.8,43.992,0.0,0.0,0.0,0.0
15099,2016.0,0.0,0.0,13008.0,520.32,0.0,0.0,0.0,0.0
15197,2016.0,0.0,0.0,0.0,0.0,395400.0,23724.0,0.0,0.0
15385,2016.0,3888.0,311.04,0.0,0.0,0.0,0.0,0.0,0.0
15416,2016.0,26376.0,2110.08,0.0,0.0,0.0,0.0,0.0,0.0
15685,2016.0,15050.0,1204.0,0.0,0.0,0.0,0.0,0.0,0.0
15886,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,810.0,48.6
16069,2016.0,864.0,69.12,0.0,0.0,0.0,0.0,0.0,0.0
16326,2016.0,0.0,0.0,4526.1,181.044,0.0,0.0,0.0,0.0
16758,2016.0,2208.0,176.64,0.0,0.0,0.0,0.0,0.0,0.0
16884,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,4720.8,283.248
16999,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,27180.0,1630.8
17641,2016.0,8610.0,688.8,0.0,0.0,0.0,0.0,0.0,0.0
17646,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,4777.5,286.65
18216,2016.0,0.0,0.0,68040.0,2721.6,0.0,0.0,0.0,0.0
18366,2016.0,0.0,0.0,1147.5,45.9,0.0,0.0,0.0,0.0
18509,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,3400.8,204.048
18837,2016.0,18720.0,1497.6,0.0,0.0,0.0,0.0,0.0,0.0
18932,2016.0,0.0,0.0,0.0,0.0,1533.6,92.016,0.0,0.0
19112,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,7020.0,421.2
19317,2016.0,0.0,0.0,2538.0,101.52,0.0,0.0,0.0,0.0
19501,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,1053.0,63.18
19559,2016.0,13965.0,1117.2,0.0,0.0,0.0,0.0,0.0,0.0
19651,2016.0,8085.0,646.8,0.0,0.0,0.0,0.0,0.0,0.0
19876,2016.0,0.0,0.0,0.0,0.0,14371.2,862.2719999999999,0.0,0.0
20333,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,756.0,45.36
20540,2016.0,0.0,0.0,15360.0,614.4,0.0,0.0,0.0,0.0
20686,2016.0,0.0,0.0,63984.0,2559.36,0.0,0.0,0.0,0.0
20812,2016.0,1500.0,120.0,0.0,0.0,0.0,,0.0,0.0
20853,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,1564.8,93.88799999999999
20921,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,7551.0,453.06
21044,2016.0,9150.0,732.0,0.0,0.0,0.0,0.0,0.0,0.0
21593,2016.0,0.0,0.0,20729.8,829.192,0.0,0.0,0.0,0.0
21913,2016.0,0.0,0.0,0.0,0.0,45240.0,2714.4,0.0,0.0
21933,2016.0,0.0,0.0,12411.0,496.44,0.0,0.0,0.0,0.0
21985,2016.0,0.0,0.0,3283.2,131.328,0.0,0.0,0.0,0.0
22166,2016.0,0.0,0.0,0.0,0.0,100440.0,6026.4,0.0,0.0
22549,2016.0,0.0,,0.0,0.0,0.0,0.0,5712.0,342.72
22785,2016.0,0.0,0.0,21621.6,864.8639999999999,0.0,0.0,0.0,0.0
22869,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,,240.57
23208,2016.0,0.0,0.0,0.0,0.0,165016.8,9901.008,0.0,0.0
23245,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,5632.0,337.92
23491,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,18480.0,1108.8
23961,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,715.2,42.912
24265,2016.0,2469.0,197.52,0.0,0.0,0.0,0.0,0.0,0.0
24611,2016.0,25246.0,2019.68,0.0,0.0,0.0,0.0,0.0,0.0
24623,2016.0,0.0,0.0,0.0,0.0,20088.0,1205.28,0.0,0.0
25111,2016.0,0.0,0.0,7392.0,295.68,0.0,0.0,0.0,0.0
25208,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,8292.0,497.52
25529,2016.0,0.0,0.0,0.0,0.0,403200.0,24192.0,0.0,0.0
25732,2016.0,15840.0,1267.2,0.0,0.0,0.0,0.0,0.0,0.0
25947,2016.0,9440.0,755.2,0.0,0.0,0.0,0.0,0.0,0.0
26293,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,780.8,46.848
26448,2016.0,0.0,0.0,0.0,0.0,49392.0,2963.52,0.0,0.0
26730,2016.0,0.0,0.0,0.0,0.0,2227.5,133.65,0.0,0.0
26885,2016.0,0.0,0.0,0.0,0.0,83600.4,5016.024,0.0,0.0
26888,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,3489.5,209.37
27003,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,7644.0,458.64
27258,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,5.94
27622,2016.0,0.0,0.0,192168.0,7686.72,0.0,0.0,0.0,0.0
27678,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,3348.8,200.928
27935,2016.0,11040.0,883.2,0.0,0.0,0.0,0.0,0.0,0.0
28415,2016.0,0.0,0.0,94371.2,3774.848,0.0,0.0,0.0,0.0
28529,2016.0,0.0,0.0,0.0,0.0,54615.6,3276.9359999999997,0.0,0.0
29118,2016.0,0.0,0.0,0.0,0.0,37884.0,2273.04,0.0,0.0
29357,2016.0,3304.0,264.32,0.0,0.0,0.0,0.0,0.0,0.0
29403,2016.0,0.0,0.0,0.0,0.0,37535.4,2252.124,0.0,0.0
29427,2016.0,30720.0,2457.6,0.0,0.0,0.0,0.0,0.0,0.0
29593,2016.0,0.0,0.0,52976.0,2119.04,0.0,0.0,0.0,0.0
29601,2016.0,0.0,0.0,0.0,0.0,21961.8,1317.7079999999999,0.0,0.0
29967,2016.0,0.0,0.0,148160.0,5926.4,0.0,0.0,0.0,0.0
29976,2016.0,0.0,0.0,0.0,0.0,272524.8,16351.488000000001,0.0,0.0
28,2017.0,0.0,0.0,3444.0,137.76,0.0,0.0,0.0,0.0
230,2017.0,0.0,0.0,3024.0,120.96,0.0,0.0,0.0,0.0
429,2017.0,0.0,0.0,79371.36,3174.8544,0.0,0.0,0.0,0.0
693,2017.0,0.0,0.0,32102.4,1284.096,0.0,0.0,0.0,0.0
727,2017.0,0.0,0.0,100454.4,4018.176,0.0,0.0,0.0,0.0
990,2017.0,0.0,0.0,0.0,0.0,111661.2,6699.672,0.0,0.0
1137,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,60.48
1274,2017.0,42800.0,3424.0,0.0,0.0,0.0,0.0,0.0,0.0
1560,2017.0,0.0,0.0,7140.0,285.6,0.0,0.0,0.0,0.0
1873,2017.0,0.0,0.0,0.0,0.0,12612.6,756.7560000000001,,0.0
2260,2017.0,6321.0,505.68,0.0,0.0,0.0,0.0,0.0,0.0
2694,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,2187.0,131.22
2992,2017.0,2670.0,213.6,0.0,0.0,0.0,0.0,0.0,0.0
3261,2017.0,0.0,0.0,0.0,0.0,70890.0,4253.4,0.0,0.0
3313,2017.0,42636.0,3410.88,0.0,0.0,0.0,0.0,0.0,0.0
3537,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,890.0,53.4
3719,2017.0,0.0,0.0,0.0,0.0,356054.4,21363.264,0.0,0.0
3720,2017.0,0.0,0.0,0.0,0.0,3225.6,193.53599999999997,0.0,0.0
3742,2017.0,21700.0,1736.0,0.0,0.0,0.0,0.0,0.0,0.0
3770,2017.0,11568.0,925.44,0.0,0.0,0.0,0.0,0.0,0.0
4107,2017.0,0.0,0.0,0.0,0.0,497952.0,29877.12,0.0,0.0
4321,2017.0,39792.0,3183.36,0.0,0.0,0.0,0.0,0.0,0.0
4911,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,6544.0,392.64
5267,2017.0,0.0,0.0,0.0,0.0,22968.9,1378.134,0.0,0.0
5646,2017.0,0.0,0.0,0.0,0.0,3960.6,237.636,0.0,0.0
6172,2017.0,0.0,0.0,0.0,0.0,82467.0,4948.02,0.0,0.0
6357,2017.0,23360.0,1868.8,0.0,0.0,0.0,0.0,0.0,0.0
6370,2017.0,2832.0,226.56,0.0,0.0,0.0,0.0,0.0,0.0
7662,2017.0,0.0,0.0,0.0,0.0,311328.0,18679.68,0.0,0.0
7706,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,348.0,20.88
7824,2017.0,0.0,0.0,0.0,0.0,19983.6,1199.016,0.0,0.0
7865,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,16887.0,1013.22
8444,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,1152.0,69.12
8492,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,249.6,14.975999999999999
8608,2017.0,0.0,0.0,0.0,0.0,0.0,,1917.6,115.056
8663,2017.0,0.0,0.0,0.0,0.0,30360.0,1821.6,0.0,0.0
8854,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,8456.4,507.384
8872,2017.0,0.0,0.0,0.0,0.0,511488.0,30689.28,0.0,0.0
8972,2017.0,0.0,0.0,287.04,,0.0,0.0,0.0,0.0
9095,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,3300.0,198.0
9124,2017.0,720.0,57.6,0.0,0.0,0.0,0.0,0.0,0.0
9476,2017.0,0.0,0.0,142581.6,5703.264,0.0,0.0,0.0,0.0
9542,2017.0,0.0,0.0,23874.0,954.96,0.0,0.0,0.0,0.0
9663,2017.0,0.0,0.0,0.0,0.0,76986.0,4619.16,0.0,0.0
9998,2017.0,0.0,0.0,90720.0,3628.8,0.0,0.0,0.0,0.0
10470,2017.0,0.0,0.0,0.0,0.0,178620.0,10717.2,0.0,0.0
10813,2017.0,0.0,0.0,0.0,0.0,18767.7,1126.062,0.0,0.0
10869,2017.0,0.0,0.0,59885.28,2395.4112,0.0,0.0,0.0,0.0
10994,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,9939.6,596.376
10995,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,7968.0,478.08
10999,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,278.4,16.704
11796,2017.0,0.0,0.0,0.0,0.0,38997.0,2339.82,0.0,0.0
12192,2017.0,0.0,0.0,0.0,0.0,3384.0,203.04,0.0,0.0
12233,2017.0,0.0,0.0,1900.8,76.032,0.0,0.0,0.0,0.0
12404,2017.0,0.0,0.0,182.4,7.296,0.0,0.0,0.0,0.0
12418,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,2040.0,122.4
12660,2017.0,0.0,0.0,0.0,0.0,126420.0,7585.2,0.0,0.0
13491,2017.0,0.0,0.0,6825.6,273.024,0.0,0.0,0.0,0.0
13593,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,403.2,24.191999999999997
13957,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,14346.0,860.76
14254,2017.0,0.0,0.0,47308.8,1892.352,0.0,0.0,0.0,0.0
14485,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,11698.5,701.91
14520,2017.0,0.0,0.0,2217.6,88.704,0.0,0.0,0.0,0.0
14555,2017.0,0.0,0.0,1830.4,73.21600000000001,0.0,0.0,0.0,0.0
